timestamp,vibration,pressure
2025-01-01 10:33:33,8,171
2025-01-01 10:34:34,18,26
2025-01-01 10:35:35,14,50
2025-01-01 10:36:36,2,61
2025-01-01 10:37:37,15,42
2025-01-01 10:38:38,6,103
2025-01-01 10:39:39,16,50
2025-01-01 10:40:40,5,33
2025-01-01 10:41:41,7,131
2025-01-01 10:42:42,1,57
2025-01-01 10:43:43,16,52
2025-01-01 10:44:44,5,122
2025-01-01 10:45:45,17,173
2025-01-01 10:46:46,2,27
2025-01-01 10:47:47,4,71
2025-01-01 10:48:48,1,52
2025-01-01 10:49:49,1,139
2025-01-01 10:50:50,2,195
2025-01-01 10:51:51,5,162
2025-01-01 10:52:52,14,88
2025-01-01 10:53:53,8,198
2025-01-01 10:54:54,18,177
2025-01-01 10:55:55,3,29
2025-01-01 10:56:56,14,165
2025-01-01 10:57:57,5,15
2025-01-01 10:58:58,7,89
2025-01-01 10:59:59,11,163
2025-01-01 10:00:00,14,101
2025-01-01 10:01:01,2,76
2025-01-01 10:02:02,1,119
2025-01-01 10:03:03,13,56
2025-01-01 10:04:04,4,158
2025-01-01 10:05:05,18,148
2025-01-01 10:06:06,8,53
2025-01-01 10:07:07,4,80
2025-01-01 10:08:08,14,163
2025-01-01 10:09:09,11,63
2025-01-01 10:10:10,3,155
2025-01-01 10:11:11,12,158
2025-01-01 10:12:12,7,46
2025-01-01 10:13:13,5,85
2025-01-01 10:14:14,6,31
2025-01-01 10:15:15,14,66
2025-01-01 10:16:16,5,116
2025-01-01 10:17:17,10,182
2025-01-01 10:18:18,6,23
2025-01-01 10:19:19,16,33
2025-01-01 10:20:20,15,44
2025-01-01 10:21:21,4,37
2025-01-01 10:22:22,16,176
2025-01-01 10:23:23,9,48
2025-01-01 10:24:24,12,23
2025-01-01 10:25:25,14,30
2025-01-01 10:26:26,6,99
2025-01-01 10:27:27,11,113
2025-01-01 10:28:28,10,147
2025-01-01 10:29:29,18,35
2025-01-01 10:30:30,7,48
2025-01-01 10:31:31,5,132
2025-01-01 10:32:32,4,174
2025-01-01 10:33:33,19,131
2025-01-01 10:34:34,8,29
2025-01-01 10:35:35,6,118
2025-01-01 10:36:36,18,85
2025-01-01 10:37:37,14,150
2025-01-01 10:38:38,18,90
2025-01-01 10:39:39,13,143
2025-01-01 10:40:40,18,66
2025-01-01 10:41:41,6,58
2025-01-01 10:42:42,15,118
2025-01-01 10:43:43,18,108
2025-01-01 10:44:44,3,161
2025-01-01 10:45:45,15,146
2025-01-01 10:46:46,19,152
2025-01-01 10:47:47,5,107
2025-01-01 10:48:48,3,75
2025-01-01 10:49:49,18,20
2025-01-01 10:50:50,2,52
2025-01-01 10:51:51,1,132
2025-01-01 10:52:52,6,169
2025-01-01 10:53:53,17,167
2025-01-01 10:54:54,11,29
2025-01-01 10:55:55,6,95
2025-01-01 10:56:56,12,199
2025-01-01 10:57:57,16,29
2025-01-01 10:58:58,13,39
2025-01-01 10:59:59,18,136
2025-01-01 10:00:00,14,107
2025-01-01 10:01:01,12,73
2025-01-01 10:02:02,9,194
2025-01-01 10:03:03,19,192
2025-01-01 10:04:04,4,41
2025-01-01 10:05:05,6,140
2025-01-01 10:06:06,11,195
2025-01-01 10:07:07,7,149
2025-01-01 10:08:08,1,56
2025-01-01 10:09:09,4,76
2025-01-01 10:10:10,14,72
2025-01-01 10:11:11,9,22
2025-01-01 10:12:12,11,103
2025-01-01 10:13:13,7,57
2025-01-01 10:14:14,13,164
2025-01-01 10:15:15,18,50
2025-01-01 10:16:16,12,70
2025-01-01 10:17:17,8,179
2025-01-01 10:18:18,6,105
2025-01-01 10:19:19,1,184
2025-01-01 10:20:20,4,161
2025-01-01 10:21:21,12,21
2025-01-01 10:22:22,2,180
2025-01-01 10:23:23,16,141
2025-01-01 10:24:24,11,73
2025-01-01 10:25:25,2,18
2025-01-01 10:26:26,13,189
2025-01-01 10:27:27,12,177
2025-01-01 10:28:28,8,122
2025-01-01 10:29:29,6,118
2025-01-01 10:30:30,10,93
2025-01-01 10:31:31,13,173
2025-01-01 10:32:32,1,129
2025-01-01 10:33:33,4,136
2025-01-01 10:34:34,13,94
2025-01-01 10:35:35,16,16
2025-01-01 10:36:36,4,65
2025-01-01 10:37:37,13,97
2025-01-01 10:38:38,5,126
2025-01-01 10:39:39,15,86
2025-01-01 10:40:40,5,181
2025-01-01 10:41:41,13,164
2025-01-01 10:42:42,5,168
2025-01-01 10:43:43,5,55
2025-01-01 10:44:44,14,68
2025-01-01 10:45:45,9,176
2025-01-01 10:46:46,15,24
2025-01-01 10:47:47,6,144
2025-01-01 10:48:48,9,142
2025-01-01 10:49:49,18,184
2025-01-01 10:50:50,4,81
2025-01-01 10:51:51,14,164
2025-01-01 10:52:52,5,131
2025-01-01 10:53:53,1,182
2025-01-01 10:54:54,5,107
2025-01-01 10:55:55,11,71
2025-01-01 10:56:56,17,79
2025-01-01 10:57:57,11,101
2025-01-01 10:58:58,16,161
2025-01-01 10:59:59,14,107
2025-01-01 10:00:00,19,163
2025-01-01 10:01:01,11,144
2025-01-01 10:02:02,19,11
2025-01-01 10:03:03,7,48
2025-01-01 10:04:04,15,188
2025-01-01 10:05:05,13,68
2025-01-01 10:06:06,3,153
2025-01-01 10:07:07,11,21
2025-01-01 10:08:08,2,169
2025-01-01 10:09:09,1,43
2025-01-01 10:10:10,10,79
2025-01-01 10:11:11,13,150
2025-01-01 10:12:12,1,100
2025-01-01 10:13:13,16,141
2025-01-01 10:14:14,12,136
2025-01-01 10:15:15,19,23
2025-01-01 10:16:16,4,170
2025-01-01 10:17:17,18,171
2025-01-01 10:18:18,6,103
2025-01-01 10:19:19,10,81
2025-01-01 10:20:20,11,104
2025-01-01 10:21:21,17,163
2025-01-01 10:22:22,2,183
2025-01-01 10:23:23,18,13
2025-01-01 10:24:24,14,174
2025-01-01 10:25:25,18,122
2025-01-01 10:26:26,14,96
2025-01-01 10:27:27,3,98
2025-01-01 10:28:28,5,162
2025-01-01 10:29:29,19,68
2025-01-01 10:30:30,12,143
2025-01-01 10:31:31,5,141
2025-01-01 10:32:32,4,81
2025-01-01 10:33:33,17,28
2025-01-01 10:34:34,15,37
2025-01-01 10:35:35,10,187
2025-01-01 10:36:36,4,33
2025-01-01 10:37:37,2,99
2025-01-01 10:38:38,1,187
2025-01-01 10:39:39,9,169
2025-01-01 10:40:40,4,97
2025-01-01 10:41:41,5,91
2025-01-01 10:42:42,15,112
2025-01-01 10:43:43,16,14
2025-01-01 10:44:44,6,111
2025-01-01 10:45:45,8,32
2025-01-01 10:46:46,10,158
2025-01-01 10:47:47,19,15
2025-01-01 10:48:48,2,180
2025-01-01 10:49:49,12,30
2025-01-01 10:50:50,19,122
2025-01-01 10:51:51,6,100
2025-01-01 10:52:52,6,73
2025-01-01 10:53:53,18,104
2025-01-01 10:54:54,19,59
2025-01-01 10:55:55,3,99
2025-01-01 10:56:56,5,41
2025-01-01 10:57:57,6,69
2025-01-01 10:58:58,17,67
2025-01-01 10:59:59,2,84
2025-01-01 10:00:00,13,86
2025-01-01 10:01:01,9,152
2025-01-01 10:02:02,10,110
2025-01-01 10:03:03,3,28
2025-01-01 10:04:04,7,185
2025-01-01 10:05:05,5,22
2025-01-01 10:06:06,13,118
2025-01-01 10:07:07,16,100
2025-01-01 10:08:08,8,113
2025-01-01 10:09:09,4,159
2025-01-01 10:10:10,10,156
2025-01-01 10:11:11,19,149
2025-01-01 10:12:12,11,164
2025-01-01 10:13:13,19,184
2025-01-01 10:14:14,16,74
2025-01-01 10:15:15,11,78
2025-01-01 10:16:16,8,168
2025-01-01 10:17:17,4,127
2025-01-01 10:18:18,14,56
2025-01-01 10:19:19,14,150
2025-01-01 10:20:20,10,177
2025-01-01 10:21:21,12,162
2025-01-01 10:22:22,5,118
2025-01-01 10:23:23,18,178
2025-01-01 10:24:24,3,19
2025-01-01 10:25:25,2,83
2025-01-01 10:26:26,17,172
2025-01-01 10:27:27,12,179
2025-01-01 10:28:28,6,136
2025-01-01 10:29:29,7,103
2025-01-01 10:30:30,18,110
2025-01-01 10:31:31,11,124
2025-01-01 10:32:32,4,18
2025-01-01 10:33:33,19,187
2025-01-01 10:34:34,9,195
2025-01-01 10:35:35,1,159
2025-01-01 10:36:36,7,16
2025-01-01 10:37:37,4,186
2025-01-01 10:38:38,9,192
2025-01-01 10:39:39,18,107
2025-01-01 10:40:40,4,188
2025-01-01 10:41:41,12,54
2025-01-01 10:42:42,4,125
2025-01-01 10:43:43,12,12
2025-01-01 10:44:44,16,158
2025-01-01 10:45:45,17,114
2025-01-01 10:46:46,3,194
2025-01-01 10:47:47,8,24
2025-01-01 10:48:48,14,41
2025-01-01 10:49:49,12,66
2025-01-01 10:50:50,17,120
2025-01-01 10:51:51,9,123
2025-01-01 10:52:52,4,70
2025-01-01 10:53:53,4,159
2025-01-01 10:54:54,10,78
2025-01-01 10:55:55,11,91
2025-01-01 10:56:56,10,141
2025-01-01 10:57:57,17,89
2025-01-01 10:58:58,17,175
2025-01-01 10:59:59,15,92
2025-01-01 10:00:00,12,166
2025-01-01 10:01:01,18,42
2025-01-01 10:02:02,15,18
2025-01-01 10:03:03,18,101
2025-01-01 10:04:04,9,34
2025-01-01 10:05:05,4,190
2025-01-01 10:06:06,14,72
2025-01-01 10:07:07,7,80
2025-01-01 10:08:08,6,104
2025-01-01 10:09:09,19,175
2025-01-01 10:10:10,3,12
2025-01-01 10:11:11,5,67
2025-01-01 10:12:12,10,57
2025-01-01 10:13:13,16,36
2025-01-01 10:14:14,6,134
2025-01-01 10:15:15,6,185
2025-01-01 10:16:16,8,149
2025-01-01 10:17:17,4,196
2025-01-01 10:18:18,14,149
2025-01-01 10:19:19,4,20
